codigo_cnuc;unidade_de_conservacao;categoria_uc_sigla_federal;gerencia_regional_icmbio;coordenacao_regional_icmbio;unidades_da_federacao;bioma_referencial;programa_monitora ;projetos_especiais;subprograma_terrestre; componente_florestal_alvo_global;componente_florestal_alvo_complementar; componente_campestre_savanico;florestal_ea_01_alvo_global_mamiferos_aves;florestal_ea_02_alvo_global_mamiferos_aves;florestal_ea_03_alvo_global_mamiferos_aves;florestal_ea_01_alvo_global_borboletas;florestal_ea_02_alvo_global_borboletas;florestal_ea_03_alvo_global_borboletas;florestal_ea_01_alvo_global_plantas_arboreas;florestal_ea_02_alvo_global_plantas_arboreas;florestal_ea_03_alvo_global_plantas_arboreas; florestal_alvo_complementar_castanha_da_amazonia;florestal_alvo_complementar_especies_cinegeticas;florestal_alvo_complementar_mamiferos_aves;campestre_savanico_alvo_global_plantas;subprograma_aquatico_continental;componente_igarape;componente_area_alagavel_alvo_global;componente_area_alagavel_alvo_complementar;igarape_alvo_global_odonatas;igarape_alvo_global_peixes;igarape_alvo_global_habitat;area_alagavel_alvo_global_pesca;area_alagavel_alvo_complementar_quelonios;area_alagavel_alvo_complementar_pirarucu;subprograma_marinho_costeiro;componente_manguezal;componente_ambiente_recifal;componente_praia;componente_ilha;alvo_transversal_pesca_biodiversidade_associada;manguezal_alvo_global_caranguejo_uca;manguezal_alvo_global_vegetacao_de_mangue; ambiente_recifal_alvo_global_peixes_invertebrados_substrato;praia_alvo_global_aves_limicolas ;praia_alvo_global_mamiferos_marinhos;ilha_alvo_global_aves_marinhas;praia_alvo_global_tartarugas
60;ESEC Niquia;ESEC;GR 1;CR - Manaus;RR;Amazonia;Operação;ARPA;Operação;Operação;;;Operação básico;;;Operação básico e avançado;;;Operação básico e avançado;;;;;;;Operação;Operação;;;Operação básico;Operação básico e avançado;Operação básico;;;;;;;;;;;;;;;;
74;ESEC Raso da Catarina;ESEC;GR 2;CR - Parnaíba ;BA;Caatinga;;GEF Terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;ESEC Rio Acre;ESEC;GR 1;GR 1;AC;Amazonia;Operação;ARPA;Operação;Operação;;;Operação básico;;;Operação básico;Operação básico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;ESEC Serra Geral do Tocantins;ESEC;GR 3;GR 3;BA/TO;Cerrado;Parada;;Parada;Parada;;;;;;;;;Parada;Parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;ESEC Tupinambas;ESEC;GR 4;CR - Lagoa Santa;SP;Marinho-Costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;FLONA da Mata Grande;FLONA;GR 4;CR - Lagoa Santa;GO;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;FLONA da Restinga de Cabedelo;FLONA;GR 2;CR - Parnaíba ;PB;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;FLONA de Acu;FLONA;GR 2;CR - Parnaíba ;RN;Caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;FLONA de Altamira;FLONA;GR 1;CR - Oeste do Pará;PA;Amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;FLONA de Anaua;FLONA;GR 1;CR - Manaus;RR;Amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;FLONA de Assungui;FLONA;GR 5;GR 5;PR;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;FLONA de Balata-Tufari;FLONA;GR 1;CR - Porto Velho;AM;Amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;FLONA de Brasilia;FLONA;GR 3;GR 3;GO/DF;Cerrado;Parada;;Parada;;;Parada;;;;;;;;;;;;;Parada;;;;;;;;;;;;;;;;;;;;;;;
78;FLONA de Cacador;FLONA;GR 5;GR 5;SC;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;FLONA de Canela;FLONA;GR 5;GR 5;RS;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;FLONA de Capao Bonito;FLONA;GR 4;CR - Lagoa Santa;SP;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;FLONA de Carajas;FLONA;GR 1;GR 1;PA;Amazonia;Operação;;Operação;Operação;;Operação;Operação básico;Operação básico;Operação básico;Operação básico e avançado;Operação básico e avançado;Operação básico e avançado;Operação básico;;;;;;Operação básico;;;;;;;;;;;;;;;;;;;;;;;
89;FLONA de Caxiuana;FLONA;GR 1;GR 1;PA;Amazonia;Operação;;Operação;Operação;;;Operação básico e avançado;Operação básico e avançado;Operação básico e avançado;Operação básico e avançado;Operação básico e avançado;Operação básico e avançado;Operação básico;Operação básico;Operação básico;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;FLONA de Chapeco;FLONA;GR 5;GR 5;SC;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;FLONA de Contendas do Sincora;FLONA;GR 2;GR 2;BA;Caatinga;Operação;;Operação;;;Operação;;;;;;;;;;;;;Operação básico;;;;;;;;;;;;;;;;;;;;;;;
90;FLONA de Cristopolis;FLONA;GR 2;CR - Parnaíba ;BA;Cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;FLONA de Goytacazes;FLONA;GR 2;CR - Parnaíba ;ES;Mata Atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
