codigo_cnuc;unidade_de_conservacao;categoria_uc_sigla_federal;gerencia_regional_icmbio;coordenacao_regional_icmbio;unidades_da_federacao;bioma_referencial;programa_monitora;projetos_especiais;subprograma_terrestre;componente_florestal_alvo_global;componente_florestal_alvo_complementar;componente_campestre_savanico;florestal_ea_01_alvo_global_mamiferos_aves;florestal_ea_02_alvo_global_mamiferos_aves;florestal_ea_03_alvo_global_mamiferos_aves;florestal_ea_01_alvo_global_borboletas;florestal_ea_02_alvo_global_borboletas;florestal_ea_03_alvo_global_borboletas;florestal_ea_01_alvo_global_plantas_arboreas;florestal_ea_02_alvo_global_plantas_arboreas;florestal_ea_03_alvo_global_plantas_arboreas;florestal_alvo_complementar_castanha_da_amazonia;florestal_alvo_complementar_especies_cinegeticas;florestal_alvo_complementar_mamiferos_aves;campestre_savanico_alvo_global_plantas;subprograma_aquatico_continental;componente_igarape;componente_area_alagavel_alvo_global;componente_area_alagavel_alvo_complementar;igarape_alvo_global_odonatas;igarape_alvo_global_peixes;igarape_alvo_global_habitat;area_alagavel_alvo_global_pesca;area_alagavel_alvo_complementar_quelonios;area_alagavel_alvo_complementar_pirarucu;subprograma_marinho_costeiro;componente_manguezal;componente_ambiente_recifal;componente_praia;componente_ilha;alvo_transversal_pesca_biodiversidade_associada;manguezal_alvo_global_caranguejo_uca;manguezal_alvo_global_vegetacao_de_mangue;ambiente_recifal_alvo_global_peixes_invertebrados_substrato;praia_alvo_global_aves_limicolas;praia_alvo_global_mamiferos_marinhos;ilha_alvo_global_aves_marinhas;praia_alvo_global_tartarugas
72;esec juami-japura;esec;gr 1;cr - manaus;am;amazonia;arpa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;esec mico-leao-preto;esec;gr 4;cr - lagoa santa;sp;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;esec niquia;esec;gr 1;cr - manaus;rr;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao;operacao;operacao basico;operacao basico e avancado;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;esec raso da catarina;esec;gr 2;cr - parnaiba;ba;caatinga;gef terrestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;esec rio acre;esec;gr 1;gr 1;ac;amazonia;operacao;arpa;operacao;operacao;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;esec serra geral do tocantins;esec;gr 3;gr 3;ba/to;cerrado;parada;parada;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;esec tupinambas;esec;gr 4;cr - lagoa santa;sp;marinho-costeiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;flona da mata grande;flona;gr 4;cr - lagoa santa;go;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;flona da restinga de cabedelo;flona;gr 2;cr - parnaiba;pb;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;flona de acu;flona;gr 2;cr - parnaiba;rn;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;flona de altamira;flona;gr 1;cr - oeste do para;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;flona de anaua;flona;gr 1;cr - manaus;rr;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;flona de assungui;flona;gr 5;gr 5;pr;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;flona de balata-tufari;flona;gr 1;cr - porto velho;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;flona de brasilia;flona;gr 3;gr 3;go/df;cerrado;parada;parada;parada;parada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;flona de cacador;flona;gr 5;gr 5;sc;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;flona de canela;flona;gr 5;gr 5;rs;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;flona de capao bonito;flona;gr 4;cr - lagoa santa;sp;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;flona de carajas;flona;gr 1;gr 1;pa;amazonia;operacao;operacao;operacao;operacao;operacao basico;operacao basico;operacao basico;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;flona de caxiuana;flona;gr 1;gr 1;pa;amazonia;operacao;operacao;operacao;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico e avancado;operacao basico;operacao basico;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;flona de chapeco;flona;gr 5;gr 5;sc;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;flona de contendas do sincora;flona;gr 2;gr 2;ba;caatinga;operacao;operacao;operacao;operacao basico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;flona de cristopolis;flona;gr 2;cr - parnaiba;ba;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;flona de goytacazes;flona;gr 2;cr - parnaiba;es;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;flona de humaita;flona;gr 1;cr - porto velho;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;flona de ibirama;flona;gr 5;gr 5;sc;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;flona de ipanema;flona;gr 4;cr - lagoa santa;sp;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;flona de irati;flona;gr 5;gr 5;pr;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;flona de itaituba i;flona;gr 1;cr - oeste do para;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;flona de itaituba ii;flona;gr 1;cr - oeste do para;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;flona de jacunda;flona;gr 1;cr - porto velho;ro;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;flona de lorena;flona;gr 4;cr - lagoa santa;sp;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;flona de mulata;flona;gr 1;cr - oeste do para;pa;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1605;flona de negreiros;flona;gr 2;cr - parnaiba;pe;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;flona de nisia floresta;flona;gr 2;cr - parnaiba;rn;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;flona de pacotuba;flona;gr 2;cr - parnaiba;es;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;flona de palmares;flona;gr 2;cr - parnaiba;pi;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;flona de paraopeba;flona;gr 4;cr - lagoa santa;mg;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;flona de passa quatro;flona;gr 4;cr - lagoa santa;mg;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;flona de passo fundo;flona;gr 5;gr 5;rs;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;flona de pau-rosa;flona;gr 1;cr - manaus;am;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;flona de pirai do sul;flona;gr 5;gr 5;pr;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;flona de ritapolis;flona;gr 4;cr - lagoa santa;mg;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;flona de roraima;flona;gr 1;cr - manaus;am/rr;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;flona de santa rosa do purus;flona;gr 1;cr - porto velho;ac;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;flona de sao francisco;flona;gr 1;cr - porto velho;ac;amazonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;flona de sao francisco de paula;flona;gr 5;gr 5;rs;mata atlantica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;flona de silvania;flona;gr 4;cr - lagoa santa;go;cerrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;flona de sobral;flona;gr 2;cr - parnaiba;ce;caatinga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
